objid,RA,Dec,r,dr,g,dg,i,di,dupvar,x,y
75972769431508543,276.94315051,-26.68479999,18.044,0.014,18.718,0.013,17.831,0.01,2,546.7341613203091,954.3842812214152
75972769455643572,276.9455648,-26.68894299,18.442,0.173,18.823,0.239,18.321,0.159,2,532.9472808222035,981.1149852444187
75972769425755457,276.94257506,-26.68737188,16.146,0.013,16.907,0.01,15.805,0.01,2,550.1129317905535,970.9395030721985
75972769406751429,276.94067561,-26.69072867,16.623,0.014,17.608,0.012,16.216,0.014,2,561.1316610683294,992.5258796883804
75972769383810557,276.93838178,-26.69145543,18.125,0.012,18.836,0.012,17.817,0.01,2,574.3515832455199,997.1647581130189
75972769368879504,276.93688747,-26.6839999,18.23,0.01,18.739,0.026,17.903,0.012,2,582.7598070323063,949.1151721301729
75972769349864752,276.93498692,-26.68795959,16.547,0.013,17.691,0.011,16.059,0.017,2,593.7996662500584,974.5853839372207
75972769349462776,276.93494624,-26.68960633,16.852,0.012,17.389,0.011,16.608,0.013,2,594.0759485214194,985.1915374791923
75972769331633000,276.93316361,-26.68941908,17.107,0.018,17.86,0.012,16.7,0.014,2,604.3304639715541,983.953007261473
75972769295780674,276.92957813,-26.691358,18.081,0.013,18.513,0.028,17.755,0.01,2,625.0145693296804,996.377095055013
75972769290399369,276.92903929,-26.68411206,18.292,0.011,18.928,0.015,18.013,0.013,2,627.9322722942153,949.6952348335578
75972769276292486,276.9276291,-26.68984785,18.338,0.012,18.93,0.017,18.103,0.011,2,636.1932424950803,986.6150216393426
75972769231585212,276.92315881,-26.68757598,18.497,0.138,18.936,0.196,18.342,0.126,2,661.8635458767493,971.9020012768539
75972769222593143,276.92225932,-26.68930053,16.053,0.011,17.162,0.011,15.578,0.01,2,667.0833835404425,982.9941847924049
75972769182460293,276.91824622,-26.69167565,16.816,0.011,17.478,0.011,16.525,0.011,2,690.238234887658,998.2221931448616
75972769176597888,276.9176593,-26.68534641,16.9,0.01,18.036,0.012,16.435,0.014,2,693.4594606031526,957.4443555221635
75972769167631336,276.91676338,-26.69080598,18.167,0.017,18.733,0.019,17.861,0.012,2,698.7505758394502,992.5946525962241
75972769143813741,276.91438192,-26.68880177,17.467,0.011,18.408,0.015,17.076,0.012,2,712.4068539847685,979.6439007800761
75972769120954765,276.91209511,-26.68794832,18.195,0.015,18.975,0.012,17.861,0.012,2,725.5470124804443,974.1072509208809
75972769117766657,276.91177628,-26.68637217,18.397,0.168,18.869,0.228,18.224,0.155,2,727.3434421202982,963.9495485000778
75972769089345395,276.90893487,-26.68742389,16.376,0.01,17.444,0.01,15.889,0.01,2,743.7221925789701,970.6751890480311
75972769080803480,276.90808091,-26.68901939,15.984,0.01,16.913,0.013,15.566,0.01,2,748.6756415871732,980.9374985883981
