RA,DEC,mag,catalog
266.04494394393,-39.17948228609,11.568559,Gaia
266.10380391645,-39.1494968868,11.875582,Gaia
266.05473556396,-39.15453985943,11.45733,Gaia
266.11385681623,-39.11247724299,10.493407,Gaia
266.01147797338,-39.06860415158,11.60992,Gaia
266.083875,-39.170815,10.239999771118164,2MASS
266.103805,-39.149479,9.642999649047852,2MASS
266.099358,-39.156342,10.869999885559082,2MASS
266.116095,-39.145485,11.40999984741211,2MASS
266.055658,-39.152031,11.081000328063965,2MASS
266.055143,-39.159073,10.293000221252441,2MASS
266.054752,-39.154522,9.788999557495117,2MASS
266.049941,-39.165668,11.520999908447266,2MASS
266.100957,-39.128002,11.194000244140625,2MASS
266.099389,-39.133465,10.878999710083008,2MASS
266.081052,-39.127811,11.454000473022461,2MASS
266.109131,-39.105267,10.64799976348877,2MASS
266.097938,-39.121681,11.121999740600586,2MASS
266.032114,-39.16523,10.402999877929688,2MASS
265.992219,-39.163239,11.706000328063965,2MASS
265.991983,-39.13364,11.670000076293945,2MASS
265.995723,-39.135712,11.821000099182129,2MASS
266.016981,-39.143166,11.489999771118164,2MASS
266.002168,-39.116928,11.024999618530273,2MASS
266.001994,-39.115799,11.72700023651123,2MASS
265.987281,-39.125996,11.717000007629395,2MASS
265.989837,-39.106419,11.845999717712402,2MASS
265.964939,-39.088589,11.425000190734863,2MASS
266.041204,-39.134655,11.22700023651123,2MASS
266.031181,-39.134354,11.862000465393066,2MASS
266.068862,-39.094959,10.361000061035156,2MASS
266.07193,-39.098724,10.508000373840332,2MASS
266.077136,-39.101738,10.196999549865723,2MASS
266.005773,-39.112797,11.675000190734863,2MASS
266.016576,-39.100388,11.668000221252441,2MASS
266.062047,-39.090076,9.984999656677246,2MASS
266.050677,-39.090355,10.402999877929688,2MASS
266.094247,-39.075287,10.628000259399414,2MASS
266.085699,-39.090302,10.8149995803833,2MASS
266.093928,-39.098392,11.465999603271484,2MASS
266.112872,-39.086246,9.4399995803833,2MASS
266.097278,-39.064964,11.871999740600586,2MASS
266.064607,-39.076263,11.61299991607666,2MASS
266.07444,-39.068073,10.666000366210938,2MASS
266.078592,-39.073013,10.916999816894531,2MASS
265.992651,-39.079327,11.197999954223633,2MASS
266.036621,-39.072758,9.246000289916992,2MASS
266.02054,-39.073048,11.914999961853027,2MASS
266.024486,-39.054558,11.810999870300293,2MASS
266.017091,-39.058483,10.062000274658203,2MASS
266.050577,-39.048065,10.647000312805176,2MASS
266.055002,-39.15435,11.741999626159668,APASS
266.114041,-39.112563,10.946999549865723,APASS
