RA,DEC,mag,e_Gmag,pmRA,pmDE,Plx,catalog
266.0625445334,-39.19441947918,15.670634,0.002785,-0.819,-8.281,0.1322,Gaia
266.06646902664,-39.19141940716,14.894745,0.002776,-5.316,-2.248,0.1393,Gaia
266.03168682809,-39.20022940097,15.33877,0.002779,-4.54,-5.811,0.0965,Gaia
266.02968414227,-39.19478314558,14.280375,0.002784,-2.004,-1.843,1.0266,Gaia
266.02570439031,-39.19468819869,15.963691,0.00279,-1.351,-5.205,0.5608,Gaia
266.01737987195,-39.19990017066,15.728115,0.003298,1.984,-6.861,0.067,Gaia
266.02415628125,-39.18884191984,15.752235,0.002786,2.021,-3.826,0.6291,Gaia
266.03989576279,-39.19745583443,14.688075,0.00281,-4.036,-6.439,0.0461,Gaia
266.05634392144,-39.19454710374,14.246277,0.002808,-3.605,-1.967,-0.1682,Gaia
266.05056600963,-39.18683971706,15.510411,0.002776,-0.552,-5.2,0.0644,Gaia
266.05794002513,-39.1869683386,14.496717,0.002805,2.204,-6.921,0.6991,Gaia
266.05811383197,-39.18616297049,14.192863,0.002766,3.204,0.123,0.2697,Gaia
266.03624380884,-39.17974567327,15.143209,0.00277,-2.837,-4.088,0.1606,Gaia
266.03181049147,-39.17961031318,15.532575,0.002814,-2.652,-3.759,0.1456,Gaia
266.03751215461,-39.18624200366,14.583882,0.00278,-2.798,-3.783,0.1347,Gaia
266.03675222049,-39.17207178048,13.512885,0.002761,-4.424,-5.458,1.1071,Gaia
266.04967112206,-39.18073030811,15.998946,0.002793,-1.421,-3.144,0.2528,Gaia
266.04792411609,-39.1736032935,15.045475,0.002908,4.582,-6.333,0.6798,Gaia
266.03701941807,-39.17042903665,15.032237,0.00277,-1.371,3.314,0.1907,Gaia
266.04494394393,-39.17948228609,11.568559,0.002818,-5.311,-4.788,0.4015,Gaia
266.12823357784,-39.16756310787,13.094531,0.002898,0.125,-0.188,0.1861,Gaia
266.12679231475,-39.17508279975,14.545653,0.002766,-7.367,-8.101,1.3509,Gaia
266.14520758543,-39.15354504555,15.832258,0.002786,1.12,-1.336,0.5384,Gaia
266.08529190469,-39.19572567304,15.876677,0.002804,-3.945,-1.852,0.1964,Gaia
266.10294815144,-39.1801620097,13.809232,0.002761,-1.727,0.509,1.3967,Gaia
266.09967625512,-39.17612511023,15.754964,0.00278,4.901,2.57,0.539,Gaia
266.09534643114,-39.18769229247,15.069481,0.002774,-6.562,-3.285,0.1477,Gaia
266.09684365451,-39.17735863842,13.817941,0.002766,-1.34,-0.149,0.3265,Gaia
266.07594904838,-39.18746133902,14.499521,0.002806,-25.788,-45.077,13.9196,Gaia
266.07736410178,-39.18333869444,15.276794,0.002949,4.87,-0.716,0.7571,Gaia
266.07789829576,-39.19677147615,14.413014,0.002775,-0.535,-4.099,0.0909,Gaia
266.08299471019,-39.19115912602,13.881622,0.002762,-2.604,-3.798,0.6784,Gaia
266.08162951098,-39.19115741655,15.556644,0.002803,0.398,-5.207,0.1076,Gaia
266.07918673668,-39.1895402344,15.663516,0.002782,-1.433,-4.813,0.1204,Gaia
266.08386101896,-39.17084685009,14.26062,0.00292,-3.326,-6.687,0.0436,Gaia
266.07973279878,-39.17248288265,14.694604,0.002764,-3.954,-3.227,0.742,Gaia
266.10561281141,-39.17538166006,15.159969,0.002804,1.05,-3.912,0.0658,Gaia
266.11461674014,-39.16804855306,12.554741,0.002773,2.02,-1.826,0.9556,Gaia
266.11066763102,-39.16376861172,14.905293,0.002767,11.474,-12.513,0.9958,Gaia
266.11164316458,-39.17415979117,13.359574,0.002775,2.743,-0.632,0.704,Gaia
266.11055092705,-39.16783864532,13.687736,0.013163,-0.291,-8.934,0.0946,Gaia
