Timestamp,Telescope,Filter,Magnitude,Error,Source
2025-04-13 00:59:11,ATLAS,o,> 18.243872275,,ATLAS
2025-04-13 00:55:07,ATLAS,o,> 18.550302283,,ATLAS
2025-04-13 00:52:31,ATLAS,o,> 18.702046884,,ATLAS
2025-04-12 07:31:00,ATLAS,o,> 19.051201868,,ATLAS
2025-04-12 07:11:29,ATLAS,o,> 19.089301784,,ATLAS
2025-04-12 07:01:20,ATLAS,o,> 18.978792628,,ATLAS
2025-04-12 06:57:24,ATLAS,o,> 18.944321917,,ATLAS
2025-04-08 09:55:01,,OGLE_I,16.169,0.01,OGLE
2025-04-08 07:36:38,ATLAS,c,> 19.696896906,,ATLAS
2025-04-08 07:28:00,ATLAS,c,> 19.841876774,,ATLAS
2025-04-08 07:22:06,ATLAS,c,> 19.631074559,,ATLAS
2025-04-08 07:18:00,ATLAS,c,> 19.766968715,,ATLAS
2025-04-07 05:33:08,,OGLE_I,16.177,0.012,OGLE
2025-04-05 08:04:20,ATLAS,c,> 19.696896906,,ATLAS
2025-04-05 07:55:52,ATLAS,c,19.523,0.273,ATLAS
2025-04-05 07:51:18,ATLAS,c,> 19.696896906,,ATLAS
2025-04-05 07:48:41,ATLAS,c,> 19.841876774,,ATLAS
2025-04-05 05:46:52,,OGLE_I,16.174,0.011,OGLE
2025-04-03 09:16:33,ATLAS,c,> 19.631074559,,ATLAS
2025-04-03 09:00:13,ATLAS,c,> 19.631074559,,ATLAS
2025-04-03 08:56:14,ATLAS,c,> 19.696896906,,ATLAS
2025-04-03 08:51:36,ATLAS,c,> 19.631074559,,ATLAS
2025-04-03 08:42:37,ATLAS,c,> 19.696896906,,ATLAS
2025-04-03 07:55:16,ATLAS,c,> 19.631074559,,ATLAS
2025-04-03 07:49:16,ATLAS,c,> 19.922338482,,ATLAS
2025-04-03 07:46:36,ATLAS,c,> 19.922338482,,ATLAS
2025-04-03 05:48:12,,OGLE_I,16.176,0.011,OGLE
2025-04-01 05:53:55,,OGLE_I,16.165,0.011,OGLE
2025-04-01 01:55:24,ATLAS,o,> 19.631074559,,ATLAS
2025-04-01 01:41:31,ATLAS,o,> 19.454621874,,ATLAS
2025-04-01 01:28:11,ATLAS,o,19.428,0.32,ATLAS
2025-04-01 01:24:46,ATLAS,o,> 19.401648626,,ATLAS
2025-03-31 08:06:01,ATLAS,c,> 19.696896906,,ATLAS
2025-03-31 07:40:36,ATLAS,c,> 19.569015600,,ATLAS
2025-03-31 07:35:59,ATLAS,c,> 19.696896906,,ATLAS
2025-03-31 07:26:49,ATLAS,c,> 19.841876774,,ATLAS
2025-03-30 08:20:39,ATLAS,c,> 19.631074559,,ATLAS
2025-03-30 08:12:27,ATLAS,c,> 19.569015600,,ATLAS
2025-03-30 08:07:52,ATLAS,c,> 19.401648626,,ATLAS
2025-03-30 08:03:43,ATLAS,c,19.381,0.229,ATLAS
2025-03-30 06:12:39,,OGLE_I,16.158,0.011,OGLE
2025-03-30 03:34:15,ATLAS,o,> 19.302877273,,ATLAS
2025-03-30 03:29:40,ATLAS,o,> 19.302877273,,ATLAS
2025-03-30 03:19:10,ATLAS,o,> 19.510312860,,ATLAS
2025-03-30 03:03:39,ATLAS,o,> 19.454621874,,ATLAS
2025-03-28 08:38:28,,OGLE_I,16.18,0.01,OGLE
2025-03-26 03:30:34,ATLAS,o,> 19.256668758,,ATLAS
2025-03-26 03:26:48,ATLAS,o,> 19.351140161,,ATLAS
2025-03-26 02:57:54,ATLAS,o,> 19.302877273,,ATLAS
2025-03-26 02:42:34,ATLAS,o,> 19.510312860,,ATLAS
2025-03-25 09:21:30,,OGLE_I,16.163,0.011,OGLE
2025-03-24 02:44:10,ATLAS,o,> 19.454621874,,ATLAS
2025-03-24 02:27:20,ATLAS,o,> 19.401648626,,ATLAS
2025-03-24 02:21:56,ATLAS,o,> 19.256668758,,ATLAS
2025-03-24 02:18:37,ATLAS,o,18.921,0.212,ATLAS
2025-03-23 09:16:46,ATLAS,o,> 18.847026752,,ATLAS
2025-03-23 08:52:59,ATLAS,o,> 18.878499570,,ATLAS
2025-03-23 08:50:23,ATLAS,o,> 18.574165578,,ATLAS
2025-03-20 08:27:35,ATLAS,o,> 18.459771852,,ATLAS
2025-03-20 08:11:25,ATLAS,o,> 18.336726795,,ATLAS
2025-03-20 08:00:49,ATLAS,o,> 18.208845489,,ATLAS
2025-03-19 07:56:08,ATLAS,o,> 18.786692553,,ATLAS
2025-03-19 07:41:10,ATLAS,o,> 18.649073637,,ATLAS
2025-03-19 07:31:48,ATLAS,o,> 18.417188504,,ATLAS
2025-03-19 07:27:38,ATLAS,o,> 18.396507189,,ATLAS
2025-03-19 06:29:57,,OGLE_I,16.175,0.012,OGLE
2025-03-18 06:36:08,,OGLE_I,16.163,0.012,OGLE
2025-03-16 08:26:25,ATLAS,o,> 18.878499570,,ATLAS
2025-03-16 08:06:01,ATLAS,o,18.48,0.278,ATLAS
2025-03-16 08:01:27,ATLAS,o,> 18.944321917,,ATLAS
2025-03-16 07:30:29,ATLAS,o,> 18.910912013,,ATLAS
2025-03-16 06:43:01,,OGLE_I,16.179,0.012,OGLE
2025-03-15 09:12:13,ATLAS,o,> 18.878499570,,ATLAS
2025-03-15 08:58:10,ATLAS,o,> 18.649073637,,ATLAS
2025-03-15 08:49:23,ATLAS,o,> 18.574165578,,ATLAS
2025-03-15 08:44:38,ATLAS,o,> 18.786692553,,ATLAS
2025-03-14 06:54:56,,OGLE_I,16.155,0.011,OGLE
2025-03-11 09:45:49,ATLAS,o,> 18.847026752,,ATLAS
2025-03-11 09:26:32,,OGLE_I,16.173,0.009,OGLE
2025-03-11 09:24:27,ATLAS,o,> 19.256668758,,ATLAS
2025-03-11 09:11:46,,OMEGA_apphot_gp,20.096689769,0.072,OMEGA_apphot_gp
2025-03-11 09:11:46,,OMEGA_cal_apphot_gp,18.305087321,0.07,OMEGA_cal_apphot_gp
2025-03-11 09:08:14,ATLAS,o,> 19.256668758,,ATLAS
2025-03-11 09:06:20,,OMEGA_cal_apphot_gp,18.321431621,0.065,OMEGA_cal_apphot_gp
2025-03-11 09:06:20,,OMEGA_apphot_gp,20.114384971,0.066,OMEGA_apphot_gp
2025-03-11 08:59:21,ATLAS,o,> 18.944321917,,ATLAS
2025-03-11 08:54:04,ATLAS,o,> 18.786692553,,ATLAS
