I,INSTRUME,I_err,I_inst,I_inst_err,SNR,TELESCOP,V,V_err,V_inst,V_inst_err,aperature_correction,aperature_correction_err,beta,fname,fwhm,fwhm_err,instrument,lmag_inject,lmag_prob,method,mjd,pixel_offset,subtraction,target_fwhm,telescope,time,time_taken,xpix,ypix,zp_I,zp_I_err,zp_V,zp_V_err
,INSTRUME,,,,2.5011798800045693,HSH,[18.18316909],0.5615914708845837,[-2.15080207],0.5604735263445333,-0.0293257206195471,0.0666316955503093,0.0225513541535297,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/OGLE-2024-BLG-0034_v_comb/OGLE-2024-BLG-0034_v_comb_APT.fits,7.431983668962053,0.2437111630308805,Direct CCD,17.024213925072544,[17.82131537],psf,60384.348723,1.714043134411485,False,7.357314243693931,CASLEO HSH + Direct CCD,2026-02-05 20:46:46.220433,47.5,396.2775811476565,541.8828337660825,,,20.333971153288008,0.0354176006702034
[16.41296702],INSTRUME,0.2614660741407412,[-3.77036837],0.2565131207558717,5.570680336488912,HSH,,,,,-0.050327221737183,0.0590150190885966,1.0,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/OGLE-2024-BLG-0034_i_comb/OGLE-2024-BLG-0034_i_comb_APT.fits,7.208603521520129,0.3891660297612569,Direct CCD,,,psf,60384.352369,0.5505025833904382,False,7.11167856240147,CASLEO HSH + Direct CCD,2026-02-05 20:47:22.464809,35.9,393.4740362310986,539.6090399234546,20.183335390143107,0.0506510296702367,,
,INSTRUME,,,,2.5011798800045693,HSH,[18.18316909],0.5615914708845837,[-2.15080207],0.5604735263445333,-0.0293257206195471,0.0666316955503093,0.0225513541535297,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/OGLE-2024-BLG-0034_v_comb/OGLE-2024-BLG-0034_v_comb_APT.fits,7.431983668962053,0.2437111630308805,Direct CCD,17.024213925072544,[17.82131537],psf,60384.348723,1.714043134411485,False,7.357314243693931,CASLEO HSH + Direct CCD,2026-02-05 20:46:46.220433,47.5,396.2775811476565,541.8828337660825,,,20.333971153288008,0.0354176006702034
[16.41296702],INSTRUME,0.2614660741407412,[-3.77036837],0.2565131207558717,5.570680336488912,HSH,,,,,-0.050327221737183,0.0590150190885966,1.0,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/OGLE-2024-BLG-0034_i_comb/OGLE-2024-BLG-0034_i_comb_APT.fits,7.208603521520129,0.3891660297612569,Direct CCD,,,psf,60384.352369,0.5505025833904382,False,7.11167856240147,CASLEO HSH + Direct CCD,2026-02-05 20:47:22.464809,35.9,393.4740362310986,539.6090399234546,20.183335390143107,0.0506510296702367,,
,INSTRUME,,,,2.5011798800045693,HSH,[18.18316909],0.5416083273175035,[-2.15080207],0.5404490482759962,-0.0293250833313581,0.0666278335269887,0.0225513541535297,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/OGLE-2024-BLG-0034_v_comb/OGLE-2024-BLG-0034_v_comb_APT.fits,7.431983668962053,0.2437111630308805,Direct CCD,16.857919022305087,[17.90139728],psf,60384.348723,1.714043134411485,False,7.357314243693931,CASLEO HSH + Direct CCD,2026-02-05 21:24:05.031853,55.3,396.2775811476565,541.8828337660825,,,20.333971153288008,0.0354176006702034
[16.41296702],INSTRUME,0.2656491203602662,[-3.77036837],0.2607756283503656,5.570680336488912,HSH,,,,,-0.0503271970601832,0.059013956212064,1.0,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/OGLE-2024-BLG-0034_i_comb/OGLE-2024-BLG-0034_i_comb_APT.fits,7.208603521520129,0.3891660297612569,Direct CCD,,,psf,60384.352369,0.5505025833904382,False,7.11167856240147,CASLEO HSH + Direct CCD,2026-02-05 21:24:38.683276,33.3,393.4740362310986,539.6090399234546,20.183335390143107,0.0506510296702367,,
,INSTRUME,,,,2.5011798800045693,HSH,[18.18316909],0.5613759699265862,[-2.15080207],0.5602575953735758,-0.0293249582670868,0.0666277551397361,0.0225513541535297,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/OGLE-2024-BLG-0034_v_comb/OGLE-2024-BLG-0034_v_comb_APT.fits,7.431983668962053,0.2437111630308805,Direct CCD,16.905391220792417,[17.80394195],psf,60384.348723,1.714043134411485,False,7.357314243693931,CASLEO HSH + Direct CCD,2026-02-05 21:39:39.132281,40.3,396.2775811476565,541.8828337660825,,,20.333971153288008,0.0354176006702034
[16.41296702],INSTRUME,0.2578379718770157,[-3.77036837],0.2528139492492404,5.570680336488912,HSH,,,,,-0.0503273882802866,0.0590088669827277,1.0,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/OGLE-2024-BLG-0034_i_comb/OGLE-2024-BLG-0034_i_comb_APT.fits,7.208603521520129,0.3891660297612569,Direct CCD,,,psf,60384.352369,0.5505025833904382,False,7.11167856240147,CASLEO HSH + Direct CCD,2026-02-05 21:40:11.958954,32.5,393.4740362310986,539.6090399234546,20.183335390143107,0.0506510296702367,,
[16.56108137],INSTRUME,0.3375237294113944,[-3.65733095],0.3339610653543386,5.15067819058901,HSH,,,,,-0.0442792082735484,0.0642887759405293,1.0,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/FBobj7i0006_wcs/FBobj7i0006_wcs_APT.fits,7.076131155299668,0.3287964243447374,Direct CCD,,,psf,60384.359688,1.052904147130725,False,7.000657986233128,CASLEO HSH + Direct CCD,2026-02-05 21:49:47.994689,28.5,385.6796148498671,536.0341419492777,20.218412325644813,0.0489108857328444,,
,INSTRUME,,,,1.274075712225789,HSH,[18.77039413],1.0800365226548518,[-1.54562515],1.0792138827086424,-0.0178377414701092,0.0611150055696133,0.0037075839298215,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/FBobj7v0003_wcs/FBobj7v0003_wcs_APT.fits,8.348994127046664,0.2705342279506861,Direct CCD,17.03854424992778,[17.48781961],psf,60384.348715,0.4865675698107069,False,8.261373305400008,CASLEO HSH + Direct CCD,2026-02-05 21:50:48.174563,59.9,397.5140699892309,542.082823874055,,,20.316019275710573,0.0421460038119984
[16.17014395],INSTRUME,0.2693255235292268,[-4.0337021],0.2645208913620253,6.700223911637536,HSH,,,,,-0.0405760628290681,0.0533427749579296,1.0,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/FBobj7i0004_wcs/FBobj7i0004_wcs_APT.fits,7.660446635424719,0.3078681869834492,Direct CCD,,,psf,60384.352338,0.7855725754210071,False,7.574087718047408,CASLEO HSH + Direct CCD,2026-02-05 21:51:28.872237,40.3,393.1696116369676,540.1661172356389,20.20384604607657,0.0506451938226295,,
,INSTRUME,,,,2.5011798800045693,HSH,[18.18316909],0.5466085532472715,[-2.15080207],0.5454599014096648,-0.029324594947058,0.0666265929061289,0.0225513541535297,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/OGLE-2024-BLG-0034_v_comb/OGLE-2024-BLG-0034_v_comb_APT.fits,7.431983668962053,0.2437111630308805,Direct CCD,17.0986863355578,[17.94651242],psf,60384.348723,1.714043134411485,False,7.357314243693931,CASLEO HSH + Direct CCD,2026-02-05 21:52:14.865425,45.7,396.2775811476565,541.8828337660825,,,20.333971153288008,0.0354176006702034
[16.33323412],INSTRUME,0.2864603770363498,[-3.85814254],0.2829656417499265,6.567590538848508,HSH,,,,,-0.0453592747906407,0.0759264366360778,1.0,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/FBobj7i0002_wcs/FBobj7i0002_wcs_APT.fits,6.561865464571985,0.3891585214469786,Direct CCD,,,psf,60384.345081,0.5180030679653705,False,6.484347339026357,CASLEO HSH + Direct CCD,2026-02-05 21:52:46.698416,31.5,405.014954545198,543.2355243460344,20.19137665240281,0.0446093398388712,,
,INSTRUME,,,,3.1434178069451923,HSH,[18.01754179],0.5023992847145636,[-2.29111272],0.5006760923902677,-0.0357904076594659,0.0728194456699506,0.0142189275659515,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/FBobj7v0001_wcs/FBobj7v0001_wcs_APT.fits,6.748083862737765,0.1866912132530535,Direct CCD,17.02913032438596,[17.62333322],psf,60384.34147,1.4008752323966351,False,6.712788372778845,CASLEO HSH + Direct CCD,2026-02-05 21:53:38.797042,51.6,409.4033400497907,543.3217342619753,,,20.30865451160384,0.0415751342814114
[16.41296702],INSTRUME,0.2647114286334409,[-3.77036837],0.2598203487845055,5.570680336488912,HSH,,,,,-0.0503275208463177,0.0590099402862352,1.0,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/OGLE-2024-BLG-0034_i_comb/OGLE-2024-BLG-0034_i_comb_APT.fits,7.208603521520129,0.3891660297612569,Direct CCD,,,psf,60384.352369,0.5505025833904382,False,7.11167856240147,CASLEO HSH + Direct CCD,2026-02-05 21:54:13.857316,34.8,393.4740362310986,539.6090399234546,20.183335390143107,0.0506510296702367,,
,INSTRUME,,,,2.8211075645501853,HSH,[18.05003457],0.5671163635228323,[-2.26840384],0.5659592283533038,-0.0345427643016142,0.0793874446100418,0.0125541146854267,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/OGLE-2024-BLG-0034/phot_REDUCED/FBobj7v0005_wcs/FBobj7v0005_wcs_APT.fits,7.324876795569817,0.2295757145543337,Direct CCD,17.004090823030275,[17.54756908],psf,60384.355984,2.05494560108483,False,7.238849753907167,CASLEO HSH + Direct CCD,2026-02-05 21:55:20.919079,66.8,388.77354973795536,539.4333123135727,,,20.318438411686973,0.0362094133768318
