file,simple,bitpix,naxis,naxis1,naxis2,bscale,bzero,ccdsize,ccdsum,pixsize1,pixsize2,adcrate,gain,rdnoise,camtem,exptime,date,observat,telescop,date-obs,time-obs,ut,st,ha,ra,dec,equinox,mjd-obs,zd,airmass,ra2000,dec2000,dome-az,imagetyp,object,instrume,instrmod,observer,optele,prog-id,detector,pixscale,filter01,filter02,comment,night
OGLE-2024-BLG-0034i0003.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:19:22,CASLEO,HSH,2025-06-19,02:17:14.850,02:17:14.7,15:30:23.1,-02:15:33.3,17:45:56.5,-39:07:13.1,2025.4,60845.095301,28.4,1.14,17:44:10.6,-39:06:39.9,301.5,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0004.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:21:30,CASLEO,HSH,2025-06-19,02:19:23.085,02:19:23.0,15:32:31.5,-02:13:24.8,17:45:56.4,-39:07:13.1,2025.4,60845.096794,28.0,1.13,17:44:10.5,-39:06:39.9,301.5,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0005.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:23:38,CASLEO,HSH,2025-06-19,02:21:31.317,02:21:30.2,15:34:40.4,-02:11:15.8,17:45:56.2,-39:07:13.1,2025.4,60845.098264,27.5,1.13,17:44:10.4,-39:06:39.8,301.5,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0006.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:25:46,CASLEO,HSH,2025-06-19,02:23:39.246,02:23:38.5,15:36:48.9,-02:09:07.6,17:45:56.5,-39:07:13.1,2025.4,60845.099745,27.1,1.12,17:44:10.6,-39:06:39.9,301.5,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0007.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:27:55,CASLEO,HSH,2025-06-19,02:25:47.539,02:25:46.7,15:38:57.4,-02:06:58.9,17:45:56.3,-39:07:13.1,2025.4,60845.101227,26.7,1.12,17:44:10.4,-39:06:39.8,301.5,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0008.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:30:03,CASLEO,HSH,2025-06-19,02:27:55.707,02:27:54.7,15:41:06.0,-02:04:50.2,17:45:56.2,-39:07:13.1,2025.4,60845.102708,26.3,1.12,17:44:10.3,-39:06:39.8,301.5,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0009.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:32:11,CASLEO,HSH,2025-06-19,02:30:03.938,02:30:03.2,15:43:14.5,-02:02:41.4,17:45:56.0,-39:07:13.1,2025.4,60845.104201,25.9,1.11,17:44:10.2,-39:06:39.8,303.6,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0010.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:34:19,CASLEO,HSH,2025-06-19,02:32:12.170,02:32:11.2,15:45:23.0,-02:00:33.2,17:45:56.3,-39:07:13.1,2025.4,60845.105683,25.5,1.11,17:44:10.4,-39:06:39.8,303.6,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0011.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:36:27,CASLEO,HSH,2025-06-19,02:34:20.412,02:34:19.7,15:47:31.8,-01:58:24.0,17:45:55.8,-39:07:13.1,2025.4,60845.107164,25.1,1.1,17:44:09.9,-39:06:39.8,303.6,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0012.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:38:36,CASLEO,HSH,2025-06-19,02:36:28.704,02:36:27.8,15:49:40.4,-01:56:15.5,17:45:55.9,-39:07:13.1,2025.4,60845.108646,24.7,1.1,17:44:10.1,-39:06:39.8,303.6,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0013.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:40:44,CASLEO,HSH,2025-06-19,02:38:36.923,02:38:36.2,15:51:49.1,-01:54:06.8,17:45:56.0,-39:07:13.1,2025.4,60845.110139,24.2,1.1,17:44:10.2,-39:06:39.8,305.3,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0014.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:42:52,CASLEO,HSH,2025-06-19,02:40:45.163,02:40:45.5,15:53:57.6,-01:51:58.1,17:45:55.8,-39:07:13.1,2025.4,60845.111632,23.8,1.09,17:44:09.9,-39:06:39.8,305.3,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0015.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:45:00,CASLEO,HSH,2025-06-19,02:42:53.401,02:42:53.6,15:56:06.0,-01:49:49.6,17:45:55.7,-39:07:13.1,2025.4,60845.113113,23.4,1.09,17:44:09.9,-39:06:39.8,305.3,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0016.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:47:09,CASLEO,HSH,2025-06-19,02:45:01.617,02:45:01.8,15:58:14.8,-01:47:40.9,17:45:55.7,-39:07:13.1,2025.4,60845.114595,23.0,1.09,17:44:09.9,-39:06:39.8,307.0,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0017.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:49:17,CASLEO,HSH,2025-06-19,02:47:09.858,02:47:10.2,16:00:23.5,-01:45:32.2,17:45:55.7,-39:07:13.1,2025.4,60845.116088,22.6,1.08,17:44:09.8,-39:06:39.8,307.0,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0018.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:51:25,CASLEO,HSH,2025-06-19,02:49:18.091,02:49:18.3,16:02:32.0,-01:43:23.7,17:45:55.7,-39:07:13.1,2025.4,60845.117569,22.2,1.08,17:44:09.9,-39:06:39.8,308.6,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0019.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:53:33,CASLEO,HSH,2025-06-19,02:51:26.313,02:51:25.6,16:04:40.5,-01:41:15.0,17:45:55.5,-39:07:13.1,2025.4,60845.119039,21.8,1.08,17:44:09.6,-39:06:39.8,308.6,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0020.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:55:42,CASLEO,HSH,2025-06-19,02:53:34.500,02:53:33.7,16:06:49.0,-01:39:06.5,17:45:55.5,-39:07:13.1,2025.4,60845.120521,21.4,1.07,17:44:09.7,-39:06:39.8,310.3,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0021.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:57:50,CASLEO,HSH,2025-06-19,02:55:43.053,02:55:42.5,16:08:58.1,-01:36:57.3,17:45:55.5,-39:07:13.1,2025.4,60845.122014,21.0,1.07,17:44:09.7,-39:06:39.8,310.3,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0022.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-18T23:59:58,CASLEO,HSH,2025-06-19,02:57:51.279,02:57:50.3,16:11:06.5,-01:34:48.9,17:45:55.4,-39:07:13.1,2025.4,60845.123495,20.6,1.07,17:44:09.5,-39:06:39.8,311.9,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
OGLE-2024-BLG-0034i0023.fit,True,16,2,1024,1024,1.0,32768.0,"[1:1024,1:1024]",1 1,24.0,24.0,,2.2,15.0,-5.0,120.0,2025-06-19T00:02:07,CASLEO,HSH,2025-06-19,02:59:59.517,02:59:58.7,16:13:15.0,-01:32:40.2,17:45:55.3,-39:07:13.1,2025.4,60845.124977,20.2,1.07,17:44:09.4,-39:06:39.8,313.7,object,OGLE-2024-BLG-0034,Direct CCD,,Mast,,HSH-2025A-05,STL-1001E,0.53,(5) I,(6) Free,= ' ',
