season,date,program
HSH-2024A-03,2024-03-01,HSH
HSH-2024A-03,2024-03-02,HSH
HSH-2024A-03,2024-03-03,HSH
HSH-2024A-03,2024-03-04,HSH
HSH-2024A-03,2024-03-05,HSH
HSH-2024A-03,2024-03-06,HSH
HSH-2024A-03,2024-03-07,HSH
HSH-2024A-03,2024-03-08,HSH
HSH-2024A-03,2024-03-09,HSH
HSH-2024A-03,2024-03-10,HSH
HSH-2024A-03,2024-03-11,HSH
HSH-2024A-03,2024-03-12,HSH
HSH-2024A-03,2024-03-13,HSH
HSH-2024A-03,2024-03-14,HSH
HSH-2024A-03,2024-03-15,HSH
HSH-2024A-03,2024-03-16,HSH
HSH-2024A-03,2024-03-17,HSH
HSH-2024A-03,2024-03-18,HSH
HSH-2024A-03,2024-03-19,HSH
HSH-2024A-03,2024-03-20,HSH
HSH-2024A-03,2024-06-27,HSH
HSH-2024A-03,2024-06-28,HSH
HSH-2024A-03,2024-06-29,HSH
HSH-2024A-03,2024-06-30,HSH
HSH-2024A-03,2024-07-01,HSH
HSH-2024A-03,2024-07-02,HSH
HSH-2024A-03,2024-07-03,HSH
HSH-2024A-03,2024-07-04,HSH
HSH-2024A-03,2024-07-05,HSH
HSH-2024A-03,2024-07-06,HSH
HSH-2024A-03,2024-07-07,HSH
HSH-2024A-03,2024-07-08,HSH
HSH-2024A-03,2024-07-09,HSH
HSH-2024A-03,2024-07-10,HSH
HSH-2024A-03,2024-07-11,HSH
HSH-2024A-03,2024-07-12,HSH
HSH-2024A-03,2024-07-13,HSH
HSH-2024A-03,2024-07-14,HSH
HSH-2024A-03,2024-07-15,HSH
HSH-2024A-03,2024-07-16,HSH
HSH-2024B-05,2024-08-23,HSH
HSH-2024B-05,2024-08-24,HSH
HSH-2024B-05,2024-08-25,HSH
HSH-2024B-05,2024-08-26,HSH
HSH-2024B-05,2024-08-27,HSH
HSH-2024B-05,2024-08-28,HSH
HSH-2024B-05,2024-08-29,HSH
HSH-2024B-05,2024-08-30,HSH
HSH-2024B-05,2024-08-31,HSH
HSH-2024B-05,2024-09-01,HSH
HSH-2024B-05,2024-09-02,HSH
HSH-2024B-05,2024-09-03,HSH
HSH-2024B-05,2024-09-04,HSH
HSH-2024B-05,2024-09-05,HSH
HSH-2024B-05,2024-09-06,HSH
HSH-2024B-05,2024-09-07,HSH
HSH-2024B-05,2024-09-08,HSH
HSH-2024B-05,2024-09-09,HSH
HSH-2024B-05,2024-09-10,HSH
HSH-2024B-05,2024-09-11,HSH
HSH-2024B-05,2024-09-12,HSH
HSH-2024B-05,2024-11-02,HSH
HSH-2024B-05,2024-11-03,HSH
HSH-2024B-05,2024-11-04,HSH
HSH-2024B-05,2024-11-05,HSH
HSH-2024B-05,2024-11-06,HSH
HSH-2024B-05,2024-11-10,HSH
HSH-2024B-05,2024-11-11,HSH
HSH-2024B-05,2024-11-12,HSH
HSH-2024B-05,2024-11-13,HSH
HSH-2024B-05,2024-11-17,HSH
HSH-2024B-05,2024-11-18,HSH
HSH-2024B-05,2024-11-19,HSH
HSH-2024B-05,2024-11-20,HSH
HSH-2024B-05,2024-11-21,HSH
HSH-2024B-05,2024-11-22,HSH
HSH-2024B-05,2024-11-23,HSH
HSH-2024B-05,2024-11-24,HSH
HSH-2024B-05,2024-11-25,HSH
HSH-2024B-05,2024-11-30,HSH
HSH-2024B-05,2024-12-01,HSH
HSH-2024B-05,2024-12-02,HSH
HSH-2024B-05,2024-12-03,HSH
HSH-2024B-05,2024-12-04,HSH
HSH-2024B-05,2024-12-05,HSH
HSH-2024B-05,2024-12-06,HSH
HSH-2024B-05,2024-12-07,HSH
HSH-2024B-05,2024-12-08,HSH
HSH-2024B-05,2024-12-09,HSH
HSH-2024B-05,2024-12-10,HSH
HSH-2024B-05,2024-12-11,HSH
HSH-2024B-05,2024-12-15,HSH
HSH-2024B-05,2024-12-16,HSH
