night,flag,copy_from,delta_days
2024-03-17,flag_fV,2024-03-16,-1.0
2024-07-03,flag_fV,2024-07-02,-1.0
2024-07-05,flag_fV,2024-07-04,-1.0
2024-07-08,flag_fV,2024-07-07,-1.0
2024-07-11,flag_fV,2024-07-10,-1.0
2024-07-13,flag_fV,2024-07-12,-1.0
2024-08-25,flag_fV,2024-08-24,-1.0
2024-08-26,flag_fV,2024-08-27,1.0
2024-08-30,flag_fV,2024-08-29,-1.0
2024-09-05,flag_fV,2024-09-04,-1.0
2024-09-10,flag_fV,2024-09-09,-1.0
2024-09-13,flag_fV,2024-09-12,-1.0
2024-11-23,flag_fV,2024-11-22,-1.0
2025-02-03,flag_fV,2025-02-02,-1.0
2025-02-07,flag_fV,2025-02-06,-1.0
2025-02-10,flag_fV,2025-02-09,-1.0
2025-02-12,flag_fV,2025-02-11,-1.0
2025-02-15,flag_fV,2025-02-14,-1.0
2025-02-16,flag_fV,2025-02-17,1.0
2025-06-06,flag_fV,2025-06-05,-1.0
2025-06-08,flag_fV,2025-06-07,-1.0
2025-06-09,flag_fV,2025-06-10,1.0
2025-06-14,flag_fV,2025-06-13,-1.0
2025-06-18,flag_fV,2025-06-17,-1.0
2025-06-21,flag_fV,2025-06-20,-1.0
2025-08-21,flag_fV,2025-08-22,1.0
2025-08-23,flag_fV,2025-08-22,-1.0
2025-08-27,flag_fV,2025-08-26,-1.0
2025-09-17,flag_fV,2025-09-16,-1.0
2025-10-15,flag_fV,2025-10-14,-1.0
2025-10-17,flag_fV,2025-10-16,-1.0
2025-10-20,flag_fV,2025-10-19,-1.0
2025-10-28,flag_fV,2025-10-27,-1.0
2025-11-19,flag_fV,2025-11-18,-1.0
2026-02-12,flag_fV,2026-02-11,-1.0
2024-03-09,flag_fI,2024-03-08,-1.0
2024-03-17,flag_fI,2024-03-16,-1.0
2024-03-18,flag_fI,2024-03-19,1.0
2024-06-27,flag_fI,2024-06-28,1.0
2024-07-03,flag_fI,2024-07-02,-1.0
2024-07-05,flag_fI,2024-07-04,-1.0
2024-07-09,flag_fI,2024-07-08,-1.0
2024-07-11,flag_fI,2024-07-10,-1.0
2024-07-13,flag_fI,2024-07-12,-1.0
2024-08-25,flag_fI,2024-08-24,-1.0
2024-08-30,flag_fI,2024-08-29,-1.0
2024-09-10,flag_fI,2024-09-09,-1.0
2024-09-13,flag_fI,2024-09-12,-1.0
2024-11-13,flag_fI,2024-11-12,-1.0
2024-11-23,flag_fI,2024-11-22,-1.0
2024-12-19,flag_fI,2024-12-18,-1.0
2025-02-07,flag_fI,2025-02-06,-1.0
2025-02-10,flag_fI,2025-02-09,-1.0
2025-02-12,flag_fI,2025-02-11,-1.0
2025-02-14,flag_fI,2025-02-11,-3.0
2025-02-15,flag_fI,2025-02-17,2.0
2025-02-16,flag_fI,2025-02-17,1.0
2025-06-06,flag_fI,2025-06-05,-1.0
2025-06-08,flag_fI,2025-06-07,-1.0
2025-06-09,flag_fI,2025-06-10,1.0
2025-06-11,flag_fI,2025-06-10,-1.0
2025-06-13,flag_fI,2025-06-15,2.0
2025-06-14,flag_fI,2025-06-15,1.0
2025-06-18,flag_fI,2025-06-17,-1.0
2025-06-21,flag_fI,2025-06-20,-1.0
2025-08-23,flag_fI,2025-08-22,-1.0
2025-08-27,flag_fI,2025-08-26,-1.0
2025-09-15,flag_fI,2025-09-16,1.0
2025-09-17,flag_fI,2025-09-16,-1.0
2025-10-15,flag_fI,2025-10-14,-1.0
2025-10-17,flag_fI,2025-10-16,-1.0
2025-10-28,flag_fI,2025-10-27,-1.0
2025-10-30,flag_fI,2025-10-29,-1.0
2024-03-14,flag_d,2024-03-13,-1.0
2024-03-20,flag_d,2024-03-19,-1.0
2024-06-27,flag_d,2024-06-28,1.0
2024-07-11,flag_d,2024-07-10,-1.0
2024-07-15,flag_d,2024-07-14,-1.0
2024-09-13,flag_d,2024-09-12,-1.0
2024-11-02,flag_d,2024-11-03,1.0
2024-11-11,flag_d,2024-11-10,-1.0
2024-11-21,flag_d,2024-11-20,-1.0
2024-11-22,flag_d,2024-11-23,1.0
2024-11-24,flag_d,2024-11-23,-1.0
2024-12-06,flag_d,2024-12-05,-1.0
2025-02-02,flag_d,2025-02-03,1.0
2025-02-04,flag_d,2025-02-03,-1.0
2025-02-08,flag_d,2025-02-07,-1.0
2025-02-11,flag_d,2025-02-10,-1.0
2025-06-06,flag_d,2025-06-05,-1.0
2025-06-11,flag_d,2025-06-10,-1.0
2025-06-13,flag_d,2025-06-14,1.0
2025-06-21,flag_d,2025-06-20,-1.0
2025-08-23,flag_d,2025-08-22,-1.0
2025-10-14,flag_d,2025-10-13,-1.0
2025-10-15,flag_d,2025-10-13,-2.0
2025-10-16,flag_d,2025-10-17,1.0
2025-10-27,flag_d,2025-10-28,1.0
2026-02-14,flag_d,2026-02-13,-1.0
2024-03-14,flag_b,2024-03-13,-1.0
2024-06-27,flag_b,2024-06-28,1.0
2024-06-29,flag_b,2024-06-28,-1.0
2024-08-31,flag_b,2024-08-30,-1.0
2024-11-11,flag_b,2024-11-10,-1.0
2024-11-21,flag_b,2024-11-20,-1.0
