night,flat_V,flat_I,object_V,object_I,dark,zero,flag_fV,flag_fI,flag_d,flag_b,nearest_flag_fV,nearest_flag_fI,nearest_flag_d,nearest_flag_b,delta_days_flag_fV,delta_days_flag_fI,delta_days_flag_d,delta_days_flag_b
2024-03-01,21,23,7,6,10.0,20.0,False,False,False,False,,,,,,,,
2024-03-02,20,20,15,13,10.0,20.0,False,False,False,False,,,,,,,,
2024-03-03,20,20,0,0,0.0,20.0,False,False,False,False,,,,,,,,
2024-03-04,19,20,0,0,0.0,20.0,False,False,False,False,,,,,,,,
2024-03-05,25,20,0,0,0.0,20.0,False,False,False,False,,,,,,,,
2024-03-06,20,20,0,0,0.0,0.0,False,False,False,False,,,,,,,,
2024-03-07,10,10,23,23,10.0,10.0,False,False,False,False,,,,,,,,
2024-03-08,21,20,33,33,10.0,40.0,False,False,False,False,,,,,,,,
2024-03-09,20,12,14,17,10.0,20.0,False,False,False,False,,,,,,,,
2024-03-10,21,15,41,39,10.0,20.0,False,False,False,False,,,,,,,,
2024-03-11,21,20,53,53,10.0,20.0,False,False,False,False,,,,,,,,
2024-03-12,21,20,53,52,10.0,20.0,False,False,False,False,,,,,,,,
2024-03-13,21,21,54,54,10.0,20.0,False,False,False,False,,,,,,,,
2024-03-14,10,10,26,22,0.0,8.0,False,False,True,True,,,2024-03-13,2024-03-13,,,-1.0,-1.0
2024-03-15,26,21,28,28,20.0,20.0,False,False,False,False,,,,,,,,
2024-03-16,20,20,28,33,17.0,39.0,False,False,False,False,,,,,,,,
2024-03-17,12,14,33,33,10.0,20.0,False,False,False,False,,,,,,,,
2024-03-18,19,27,62,62,20.0,40.0,False,False,False,False,,,,,,,,
2024-03-19,21,21,23,20,50.0,10.0,False,False,False,False,,,,,,,,
2024-03-20,23,26,22,22,9.0,20.0,False,False,True,False,,,2024-03-19,,,,-1.0,
2024-06-27,21,14,0,1,0.0,0.0,False,False,True,True,,,2024-06-28,2024-06-28,,,1.0,1.0
2024-06-28,11,20,30,178,30.0,20.0,False,False,False,False,,,,,,,,
2024-06-29,10,10,51,211,20.0,2.0,False,False,False,True,,,,2024-06-28,,,,-1.0
2024-06-30,20,20,104,210,28.0,30.0,False,False,False,False,,,,,,,,
2024-07-01,20,20,100,160,39.0,40.0,False,False,False,False,,,,,,,,
2024-07-02,19,20,98,182,40.0,40.0,False,False,False,False,,,,,,,,
2024-07-03,22,28,83,222,20.0,15.0,False,False,False,False,,,,,,,,
2024-07-04,21,22,104,206,20.0,20.0,False,False,False,False,,,,,,,,
2024-07-05,11,13,62,298,30.0,20.0,False,False,False,False,,,,,,,,
2024-07-06,38,40,84,254,20.0,20.0,False,False,False,False,,,,,,,,
2024-07-07,20,20,104,214,20.0,18.0,False,False,False,False,,,,,,,,
2024-07-08,10,22,99,267,20.0,27.0,False,False,False,False,,,,,,,,
2024-07-09,6,20,0,2,20.0,40.0,False,False,False,False,,,,,,,,
2024-07-10,20,20,32,182,10.0,20.0,False,False,False,False,,,,,,,,
2024-07-11,2,20,47,301,0.0,20.0,True,False,True,False,2024-07-10,,2024-07-10,,-1.0,,-1.0,
2024-07-12,20,20,30,134,10.0,20.0,False,False,False,False,,,,,,,,
2024-07-13,0,0,69,301,20.0,20.0,True,True,False,False,2024-07-12,2024-07-12,,,-1.0,-1.0,,
2024-07-14,20,24,115,277,20.0,20.0,False,False,False,False,,,,,,,,
2024-07-15,20,20,98,277,5.0,20.0,False,False,True,False,,,2024-07-14,,,,-1.0,
2024-07-16,20,20,130,252,25.0,20.0,False,False,False,False,,,,,,,,
2024-08-23,18,23,59,47,20.0,20.0,False,False,False,False,,,,,,,,
2024-08-24,10,10,75,82,10.0,10.0,False,False,False,False,,,,,,,,
2024-08-25,0,12,46,46,20.0,40.0,True,False,False,False,2024-08-24,,,,-1.0,,,
2024-08-26,0,22,110,96,20.0,20.0,True,False,False,False,2024-08-27,,,,1.0,,,
2024-08-27,22,21,35,19,11.0,40.0,False,False,False,False,,,,,,,,
2024-08-28,20,14,67,66,20.0,20.0,False,False,False,False,,,,,,,,
2024-08-29,0,0,0,0,20.0,10.0,False,False,False,False,,,,,,,,
2024-08-30,0,0,19,18,20.0,20.0,True,True,False,False,2024-08-29,2024-08-29,,,-1.0,-1.0,,
2024-08-31,25,24,103,123,20.0,0.0,False,False,False,True,,,,2024-08-30,,,,-1.0
2024-09-01,19,20,57,114,20.0,30.0,False,False,False,False,,,,,,,,
2024-09-02,21,23,96,117,20.0,20.0,False,False,False,False,,,,,,,,
2024-09-03,20,21,79,148,20.0,20.0,False,False,False,False,,,,,,,,
2024-09-04,28,24,58,86,30.0,25.0,False,False,False,False,,,,,,,,
2024-09-05,20,20,83,81,20.0,20.0,False,False,False,False,,,,,,,,
2024-09-06,20,26,82,167,20.0,20.0,False,False,False,False,,,,,,,,
2024-09-07,16,20,81,115,10.0,10.0,False,False,False,False,,,,,,,,
2024-09-08,20,20,52,56,20.0,20.0,False,False,False,False,,,,,,,,
2024-09-09,21,22,59,73,20.0,30.0,False,False,False,False,,,,,,,,
2024-09-10,8,0,40,40,10.0,20.0,True,True,False,False,2024-09-09,2024-09-09,,,-1.0,-1.0,,
2024-09-11,0,0,0,0,0.0,0.0,False,False,False,False,,,,,,,,
2024-09-12,21,15,25,45,20.0,20.0,False,False,False,False,,,,,,,,
2024-11-02,25,20,15,14,9.0,20.0,False,False,True,False,,,2024-11-03,,,,1.0,
2024-11-03,0,0,0,0,0.0,0.0,False,False,False,False,,,,,,,,
2024-11-04,19,20,26,28,18.0,40.0,False,False,False,False,,,,,,,,
2024-11-05,20,21,66,107,21.0,20.0,False,False,False,False,,,,,,,,
2024-11-06,20,20,24,44,20.0,20.0,False,False,False,False,,,,,,,,
2024-11-10,21,21,33,31,20.0,20.0,False,False,False,False,,,,,,,,
2024-11-11,21,28,23,31,0.0,0.0,False,False,True,True,,,2024-11-10,2024-11-10,,,-1.0,-1.0
2024-11-12,21,21,43,52,20.0,20.0,False,False,False,False,,,,,,,,
2024-11-13,19,3,50,50,10.0,21.0,False,True,False,False,,2024-11-12,,,,-1.0,,
2024-11-17,21,22,35,52,10.0,20.0,False,False,False,False,,,,,,,,
2024-11-18,20,20,45,47,20.0,20.0,False,False,False,False,,,,,,,,
2024-11-19,21,20,44,45,10.0,20.0,False,False,False,False,,,,,,,,
2024-11-20,21,26,32,29,20.0,25.0,False,False,False,False,,,,,,,,
2024-11-21,21,24,13,9,0.0,0.0,False,False,True,True,,,2024-11-20,2024-11-20,,,-1.0,-1.0
2024-11-22,20,21,0,8,0.0,20.0,False,False,True,False,,,2024-11-23,,,,1.0,
2024-11-23,0,0,30,30,10.0,20.0,True,True,False,False,2024-11-22,2024-11-22,,,-1.0,-1.0,,
2024-11-24,20,20,24,22,0.0,20.0,False,False,True,False,,,2024-11-23,,,,-1.0,
2024-11-25,23,23,40,39,16.0,20.0,False,False,False,False,,,,,,,,
2024-11-30,20,20,35,31,20.0,20.0,False,False,False,False,,,,,,,,
2024-12-01,20,21,35,36,20.0,20.0,False,False,False,False,,,,,,,,
2024-12-02,21,20,28,36,10.0,20.0,False,False,False,False,,,,,,,,
2024-12-03,20,20,39,42,35.0,20.0,False,False,False,False,,,,,,,,
2024-12-04,20,21,27,38,20.0,40.0,False,False,False,False,,,,,,,,
2024-12-05,24,20,21,19,10.0,42.0,False,False,False,False,,,,,,,,
2024-12-06,20,28,36,38,9.0,20.0,False,False,True,False,,,2024-12-05,,,,-1.0,
2024-12-07,20,20,32,27,20.0,20.0,False,False,False,False,,,,,,,,
2024-12-08,20,20,36,34,20.0,20.0,False,False,False,False,,,,,,,,
2024-12-09,20,20,32,32,10.0,21.0,False,False,False,False,,,,,,,,
2024-12-10,20,20,17,20,20.0,20.0,False,False,False,False,,,,,,,,
2024-12-11,20,20,40,42,10.0,20.0,False,False,False,False,,,,,,,,
2024-12-15,10,10,18,38,10.0,20.0,False,False,False,False,,,,,,,,
2024-12-16,20,20,29,31,10.0,11.0,False,False,False,False,,,,,,,,
2024-12-17,11,20,35,30,20.0,20.0,False,False,False,False,,,,,,,,
2024-12-18,20,20,23,33,12.0,20.0,False,False,False,False,,,,,,,,
2024-12-19,23,23,20,17,20.0,20.0,False,False,False,False,,,,,,,,
2024-12-20,20,20,60,58,20.0,40.0,False,False,False,False,,,,,,,,
2024-12-21,32,23,57,37,10.0,10.0,False,False,False,False,,,,,,,,
2024-12-22,21,20,12,62,12.0,20.0,False,False,False,False,,,,,,,,
2025-02-02,20,22,5,6,7.0,20.0,False,False,True,False,,,2025-02-03,,,,1.0,
2025-02-03,10,20,10,19,20.0,10.0,False,False,False,False,,,,,,,,
2025-02-04,20,20,7,6,0.0,20.0,False,False,True,False,,,2025-02-03,,,,-1.0,
2025-02-05,10,20,7,20,20.0,10.0,False,False,False,False,,,,,,,,
2025-02-06,20,26,5,8,20.0,0.0,False,False,False,True,,,,2025-02-05,,,,-1.0
2025-02-07,0,0,20,20,20.0,20.0,True,True,False,False,2025-02-06,2025-02-06,,,-1.0,-1.0,,
2025-02-08,22,21,0,20,0.0,20.0,False,False,True,False,,,2025-02-07,,,,-1.0,
