season,date,reason
HSH-2024A-03,2024-03-03,aprendiendo
HSH-2024A-03,2024-03-04,aprendiendo
HSH-2024A-03,2024-03-05,aprendiendo
HSH-2024A-03,2024-03-06,aprendiendo
HSH-2024B-05,2024-08-29,mal tiempo
HSH-2024B-05,2024-09-11,problemas técnicos
HSH-2024B-05,2024-11-03,corte de luz en Burek
HSH-2024B-05,2024-12-23,se observó según el log
HSH-2025A-05,2025-02-01,qué pasó? (init season)
HSH-2025A-05,2025-06-10,problemas técnicos
HSH-2025A-05,2025-06-12,mal tiempo
HSH-2025B-03,2025-08-20,qué pasó? (init season)
HSH-2025B-03,2025-09-19,incendio en Burek
HSH-2025B-03,2025-09-20,incendio en Burek
HSH-2025B-03,2025-09-21,incendio en Burek
HSH-2025B-03,2025-09-22,incendio en Burek
HSH-2025B-03,2025-09-23,incendio en Burek
HSH-2025B-03,2025-09-24,incendio en Burek
HSH-2025B-03,2025-09-25,incendio en Burek
HSH-2025B-03,2025-09-26,incendio en Burek
HSH-2025B-03,2025-09-27,incendio en Burek
HSH-2025B-03,2025-09-30,mal tiempo
HSH-2025B-03,2025-10-21,mal tiempo
HSH-2025B-03,2025-10-26,problemas técnicos
HSH-2025B-03,2025-11-20,mal tiempo
HSH-2025B-03,2025-12-17,se observó según el log
HSH-2025B-03,2025-12-18,se observó según el log
HSH-2025B-03,2025-12-19,se observó según el log
HSH-2025B-03,2025-12-20,sin targets
HSH-2025B-03,2025-12-21,sin targets
HSH-2025B-03,2026-01-12,sin targets
HSH-2025B-03,2026-01-13,sin targets
HSH-2025B-03,2026-01-14,sin targets
HSH-2025B-03,2026-01-15,sin targets
HSH-2025B-03,2026-01-16,sin targets
2026A,2026-02-24,mal tiempo
2026A,2026-02-26,no se observó
2026A,2026-02-28,se observó según el log
