object,nearest_obj,count
OGLE-BLG-0605,OGLE-2024-BLG-0605,503
OGLE-BLG-0669,OGLE-2024-BLG-0669,481
Gaia24bsi,Gaia24bsj,242
OGLE-BLG-0592,OGLE-2024-BLG-0592,208
Gaia24bsi_,Gaia24bsi,197
ASASSN24fs,ASASSN-24fs,193
Gaia24bsj_,Gaia24bsj,148
OGLE2024-BLG-0674,OGLE-2024-BLG-0674,146
OGLE-2024-DG-0006,OGLE-2024-GD-0006,142
OGLE2-024-BLG-0669,OGLE-2024-BLG-0669,141
OGLE-DG-0016,OGLE-2024-DG-0016,127
OGLE-2024-GD-006,OGLE-2024-GD-0006,123
OGLE-2024-BGL-0674,OGLE-2024-BLG-0674,119
Gaia24bs?,Gaia24bsi,113
OGLE-2024-BLG-0675,OGLE-2025-BLG-0675,99
OGLE2024-BLG-0592,OGLE-2024-BLG-0592,98
OGLE-2024-BLG-0592,OGLE-2024-BLG-0605,93
?GLE-2024-BLG-0605,OGLE-2024-BLG-0605,90
?GLE-2024-BLG-0674,OGLE-2024-BLG-0674,90
Gaia2023cnu,Gaia23cnu,82
OGLE-2025-GD-0006,OGLE-2024-GD-0006,81
Gaia24bsj,Gaia24bsi,74
?GLE-2024-DG-0016,OGLE-2024-DG-0016,72
OGLE-2025-BLG-0075,OGLE-2025-BLG-0675,69
?GLE-2024-BLG-0669,OGLE-2024-BLG-0669,65
OGLE-BLG-0674,OGLE-2024-BLG-0674,62
OGLE-2024-BLG0669,OGLE-2024-BLG-0669,60
OGLE2024-BLG-0669,OGLE-2024-BLG-0669,40
OGLE2024BLG0669,OGLE-2024-BLG-0669,40
?GLE-2024-BLG-0592,OGLE-2024-BLG-0592,38
OGLE2024-GD-0006,OGLE-2024-GD-0006,35
OGLE2025BLG0675,OGLE-2025-BLG-0675,33
OGLE-2023-GD0011,OGLE-2023-GD-0011,31
OGLE2024DG0016,OGLE-2024-DG-0016,29
OGLE-GD-0010,OGLE-2024-BLG-0010,28
OGLE2-024-BLG-0592,OGLE-2024-BLG-0592,25
Gaia20bsj_,Gaia24bsj,25
BLG-0010_14,OGLE-2025-BLG-1480,24
OGLE2024-DG-0016,OGLE-2024-DG-0016,23
OGLE-BLG-0010,OGLE-2024-BLG-0010,22
GD-0006_16.2,OGLE-2024-GD-0006,21
OGLE-BLG-0002,OGLE-2024-BLG-0002,21
OGLE-24-GD-0014,OGLE-2024-GD-0014,21
OGLE2-024-DG-0016,OGLE-2024-DG-0016,20
OGLE-2025-BLG-0681,OGLE-2025-BLG-0715,20
OGLE2024BLG0592,OGLE-2024-BLG-0592,20
OGLE2025BLG1480,OGLE-2025-BLG-1480,19
OGLE-GD-0006,OGLE-2024-GD-0006,16
BLG-0010_14 Guia,OGLE-2024-BLG-0010,15
OGLE-24-GD-0006,OGLE-2024-GD-0006,14
Test,OGLE-2025-GD-0001,13
OGLE-2025-BLG0675,OGLE-2025-BLG-0675,13
OGLE-GD-0001,OGLE-2024-GD-0001,12
OGLE-2024-GD-0001,OGLE-2025-GD-0001,12
Gaia2024GD0006_,OGLE-2024-GD-0006,10
OGLE-2025-BLG-0451_1,OGLE-2025-BLG-0451,10
OGLE-GD-0009,OGLE-2024-BLG-0009,10
OGLE-2024-GD,OGLE-2024-GD-0006,10
OGLE-2025-BLG-0675,OGLE-2025-BLG-0451,9
GD-0006_16.2 Guiding,OGLE-2024-GD-0006,9
BLG-0002 15.9 Guia,OGLE-2024-BLG-0002,8
BLG-0009_16.4 Guia,OGLE-2024-BLG-0009,8
GD-0001_16.3 Guiding,OGLE-2024-GD-0001,8
OGLE-BLG-0009,OGLE-2024-BLG-0009,6
GD-0001_16.3,OGLE-2025-GD-0006,6
OGLE-2024-GD-0014,Gaia24ddl,4
OGLE-2024-GD-0009,OGLE-2024-BLG-0009,4
Wasp15,WASP-15b,3
wasp15,WASP-15b,3
OGLE-2025-BLG-1480,OGLE-2024-BLG-0010,3
OGLE-2023-GD-00111,OGLE-2023-GD-0011,2
OGLE-GD-0002,OGLE-2024-BLG-0002,2
prueba,OGLE-2025-BLG-0715,2
Gaia24bsj,SMC,1
foco,OGLE-2024-BLG-0674,1
setpoint,Gaia24bsj,1
set_point,Gaia24bsi,1
ser,TOI3071,1
galaxia,NGC2442,1
foco,OGLE-2025-BLG-0675,1
OGLE-24-GD,Gaia24ddl,1
foco,Gaia24bsj,1
OGLE-BLG-0592,OGLE-2024-BLG-0669,1
Set Point,NGC2442,1
OGLE-BLG-2025-06,OGLE-2025-BLG-0681,1
GD-0001_16.3,OGLE-2024-GD-0001,1
OGLE-2025-BLG-0675,ASASSN-24fs,1
OGLE-2025-BLG-0397,OGLE-2025-BLG-0451,1
Gaia22ccd,OGLE-2023-GD-0011,1
