object,nearest_obj,count
skyflat,NGC2217,260
OGLE-2024-BLG-0592,OGLE-2024-BLG-0592,91
flat,M83,76
OGLE-2024-BLG-0674,OGLE-2024-BLG-0674,74
Gaia24bsj,Gaia24bsj,53
flat,NGC2217,43
Gaia24bsi,NGC0092,40
OGLE-2024-GD-0006,Gaia24ddl,30
Test,RXJ1131,27
OGLE-2024-GD-0016,OGLE-2024-DG-0016,22
Gaia24bsj,NGC2442,19
BLG-0002.15.9,OGLE-2024-BLG-0002,16
BLG-0034_16.1,OGLE-2024-BLG-0034,14
OGLE-2025-BLG-0681,OGLE-2025-BLG-0681,12
OGLE-2024-DG-0016,NGC7172,10
setpoint,RXJ1131,10
Gaia24bsj,NGC2217,8
BLG-0009_16.4,OGLE-2024-BLG-0009,8
foco,RXJ1131,8
OGLE-2024-BLG-0592,OGLE-2025-GD-0001,7
OGLE2024DG0016,OGLE-2024-DG-0016,7
ASASSN-24fs,ASASSN-24fs,7
foco,OGLE-2025-BLG-0675,7
flat,RXJ1131,6
OGLE-2024-DG-006,OGLE-2024-GD-0006,4
Gaia24bsj_,Gaia24bsi,4
focus,RXJ1131,4
Altair,NGC4945,4
foco,NGC2217,3
OGLE-2024-DG-0016,OGLE-2024-DG-0016,3
M83,M83,3
foco,Gaia24bsi,3
OGLE-2025-BLG-0675,OGLE-2025-GD-0001,3
OGLE-2024-BLG-0592,Gaia23cnu,3
foco,M83,2
foco,NGC0092,2
galaxia1,RXJ1131,2
setpoint,Gaia24bsj,2
Set Point,NGC2217,2
set,NGC2217,2
BD -17 3129,RXJ1131,2
OGLE-2025-GD-0001,OGLE-2024-GD-0006,2
Gaia24bsj,NGC0092,2
Gaia24bsj_,Gaia24bsj,2
OGLE-2024-GD-006,M83,2
set,M83,2
OGLE-2025-GD-0001,OGLE-2025-GD-0001,2
NGC3338,RXJ1131,2
skyflat,NGC7172,2
setpoint,NGC7172,1
skyflat,RXJ1131,1
test,OGLE-2024-DG-0016,1
set,TOI3071,1
setpoint1,NGC0092,1
setup,RXJ1131,1
set,WASP-15b,1
setpoint,TOI3071,1
set point,RXJ1131,1
setpoint,Gaia23dpn,1
setpoint,NGC2217,1
?GLE-2024-BLG-0592,OGLE-2024-BLG-0605,1
OGLE2024BLG0669,OGLE-2024-BLG-0669,1
ser,RXJ1131,1
OGLE-2025-BLG-0675,OGLE-2025-BLG-0303,1
Gaia22ccd,TOI3071,1
NGC4945,TOI3071,1
OGLE,OGLE-2023-BLG-0723,1
OGLE-2024-BLG-0592,OGLE-2024-DG-0016,1
OGLE-2024-BLG-0592,OGLE-2024-GD-0009,1
OGLE-2024-DG-0016,ASASSN-24fs,1
OGLE-DG-0016,OGLE-2024-DG-0016,1
foco,OGLE-2024-GD-0006,1
OGLE2-024-BLG-0592,OGLE-2024-BLG-0592,1
Set Point,RXJ1131,1
SetPoint,RXJ1131,1
SetPoint2,RXJ1131,1
Setpoint,NGC7172,1
WD0830-535,NGC2442,1
test,OGLE-2024-GD-0014,1
