night,filename,band,exptime,use_image,cut_reasons,n_good,fwhm_median,ellip_median,theta_concentration,snr_median
20240314,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/FBobj7i0002_wcs.fits,I,300.0,True,,558,7.51,0.284,0.7538510718604382,32.94
20240314,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/FBobj7i0004_wcs.fits,I,300.0,True,,449,8.6,0.257,0.7749314279815925,33.73
20240314,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/FBobj7i0006_wcs.fits,I,300.0,True,,543,7.95,0.216,0.7283571089096081,33.88
20240314,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/FBobj7v0001_wcs.fits,V,300.0,True,,340,7.745,0.2615,0.6132412077301683,31.965
20240314,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/FBobj7v0003_wcs.fits,V,300.0,True,,250,9.725,0.3145,0.7193866571198752,36.03
20240314,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240314/FBobj7v0005_wcs.fits,V,300.0,True,,325,7.72,0.154,0.3550050594961718,35.46
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6i0012.fit,I,180.0,True,,488,7.885,0.259,0.8264374518179869,32.555
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6i0014.fit,I,180.0,True,,383,8.84,0.247,0.8006551120623285,34.71
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6i0016.fit,I,180.0,False,"trailing (ellip=0.38, θ_c=0.87)",291,11.27,0.376,0.8713432494333818,36.05
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6i0018.fit,I,180.0,True,,540,6.955,0.193,0.6566179080686438,32.504999999999995
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6i0020.fit,I,180.0,True,,550,7.355,0.2275,0.7494512809311284,32.254999999999995
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6i0022.fit,I,180.0,True,,637,6.27,0.158,0.5654378765783674,31.88
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6i0024.fit,I,180.0,True,,477,7.61,0.224,0.724413664723478,32.86
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6v0011.fit,V,180.0,True,,199,8.85,0.186,0.4848582613496922,32.89
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6v0013.fit,V,180.0,True,,258,7.865,0.17,0.4535473435811148,31.02
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6v0015.fit,V,180.0,True,,280,7.575,0.1725,0.414908220477607,30.14
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6v0017.fit,V,180.0,True,,287,7.56,0.158,0.3798756912420459,29.41
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6v0019.fit,V,180.0,True,,276,8.015,0.2185,0.6829345507094303,29.555
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6v0021.fit,V,180.0,True,,189,10.35,0.356,0.7452629863803019,35.23
20240319,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20240319/obj6v0023.fit,V,180.0,True,,321,7.33,0.212,0.6473741764757758,30.35
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0002_wcs.fits,I,90.0,True,,167,4.8,0.155,0.6305987005905583,27.31
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0003_wcs.fits,I,90.0,True,,136,4.91,0.1295,0.0389159290846476,27.555
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0004_wcs.fits,I,90.0,True,,183,5.45,0.189,0.6675110380092617,27.69
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0005_wcs.fits,I,90.0,False,few_sources (77),77,4.9,0.184,0.4509837927760257,34.08
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0006_wcs.fits,I,90.0,True,,326,5.94,0.1995,0.7263862929676789,32.05
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0007_wcs.fits,I,90.0,True,,417,7.2,0.214,0.6588833240116249,32.16
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0008_wcs.fits,I,90.0,True,,524,5.45,0.1225,0.0867802789941157,29.385
