object,mag_min,mag_max,fecha_pico,n_total_images,n_nights,first_obs,last_obs,baseline_days,std_time_days,mean_gap_days,std_gap_days,uniformity_index
ASASSN-24fs,9.5155790303,17.443812842,2024-09-05,545,11,2024-09-13,2025-10-31,413,2.199269407012197,0.0046433236133892235,0.0317701772462859,6.842119975156422
OGLE-2025-BLG-1480,14.208,14.444,2025-10-05,73,9,2024-03-20,2025-10-23,582,1119.8053856285771,9.737348094784817,90.05791560431359,9.248710709289249
OGLE-2024-BLG-0009,16.067,16.794,2024-04-10,56,7,2024-03-15,2024-03-21,6,1537.795766839767,11.796347934472935,92.47400972552006,7.839206696784485
OGLE-2024-BLG-0010,15.536,16.417,2024-03-14,154,7,2024-03-15,2025-10-15,579,1115.8059852806684,9.2588989660007,90.63219913845954,9.788658400017871
OGLE-2024-BLG-0674,14.092,14.867,2024-06-27,2410,23,2024-06-30,2024-09-08,70,1294.0168877509184,13.826486823361822,108.03259145034771,7.813452023677572
OGLE-2024-GD-0001,16.138,16.378,2025-02-12,40,6,2024-03-15,2024-03-21,6,1394.9043156223702,10.157835074903913,59.46495459145343,5.854097271018739
Gaia23cnu,13.038,14.07,2025-06-09,165,5,2024-03-02,2024-03-14,12,1120.1081183334538,9.300553141331514,94.7141828324256,10.183715032121825
OGLE-2024-BLG-0002,15.791,16.162,2024-02-28,88,6,2024-03-16,2024-03-21,5,1282.384657325748,14.474358977681039,81.79602487916105,5.651098263162306
Gaia24ddl,16.2,16.65,2024-10-30,256,18,2025-02-03,2026-02-11,373,898.9474220489546,14.56528516448359,28.282679876835836,1.9417868965450216
OGLE-2025-BLG-0715,13.556,13.813,2025-10-18,172,7,2025-09-16,2025-09-30,14,1163.187246929463,10.412721057149863,97.36001756571434,9.3501033045404
OGLE-2024-BLG-0605,15.096,15.979,2024-08-20,982,15,2024-08-24,2024-09-10,17,1290.4047701701668,13.022262605676326,104.4902391951874,8.023969594165665
OGLE-2024-BLG-0669,15.254,15.85,2024-07-28,1020,18,2024-08-24,2024-09-11,18,1286.3472117531876,14.154088267099215,81.1209633987264,5.731274375848695
OGLE-2023-BLG-0723,18.316,20.59,2023-06-16,1,1,2024-03-03,2024-03-03,0,1329.0253773883167,27.485450765669516,187.7249695450985,6.829976016968763
OGLE-2025-GD-0001,13.11,16.542,2025-05-06,626,23,2025-06-02,2026-02-28,271,540.8028486731082,10.679812105988967,69.39648800523653,6.497912820612336
Gaia24bsi,16.23,16.91,2024-07-06,1724,43,2024-11-03,2026-02-15,469,957.6935808051561,28.163107367621528,23.61184477759043,0.8383962916228633
OGLE-2025-BLG-0675,13.53,15.101,2025-06-10,3206,34,2025-06-02,2025-10-27,147,980.6218090190002,11.322520424836604,75.26014173560945,6.646942457310297
OGLE-2025-GD-0006,18.115,19.795,2025-06-05,5,1,2024-03-20,2024-03-20,0,574.8916757640852,8.672114367114368,60.74987676989405,7.005197832752807
Gaia23dpn,13.038,14.07,2025-06-09,27,1,2024-03-03,2024-03-03,0,1120.1081183334538,9.300553141331514,94.7141828324256,10.183715032121825
Gaia24bsj,16.69,17.14,2024-07-06,1409,41,2024-11-03,2026-02-18,472,1011.4509270120635,26.12102556360708,24.276168742179237,0.9293727263144608
OGLE-2025-BLG-0681,15.083,15.899,2025-08-09,154,5,2025-09-17,2025-09-30,13,1052.5792057884296,10.025852534911962,72.83817467842005,7.265035509427593
OGLE-2024-DG-0016,12.93,13.19,2024-09-16,1097,34,2024-06-30,2024-09-16,78,1484.3958801474998,15.06015999934794,77.5417419649458,5.148799346640615
OGLE-2023-GD-0011,16.453,17.14,2024-01-22,388,7,2024-03-08,2024-03-14,6,1433.267451925225,11.526109538910298,57.80699172992901,5.015308203933155
OGLE-2024-BLG-0592,14.017,14.658,2024-07-16,2561,35,2024-06-29,2024-09-11,74,926.1872680209945,9.477227614688552,71.41824729576928,7.535774194668456
OGLE-2025-BLG-0245,14.096,15.961,2025-05-19,179,5,2025-06-02,2025-06-08,6,1122.832384082285,7.797285374526645,80.66489431449703,10.34525356453226
OGLE-2024-BLG-0034,15.313,17.32,2024-08-22,405,10,2024-03-15,2025-06-21,463,1137.5786689188058,10.095851933482601,30.106181319335352,2.982034752261874
OGLE-2024-GD-0014,14.964,15.076,2024-09-21,230,14,2025-02-08,2026-02-18,375,1397.1711844981362,10.353183371171651,60.0435320730249,5.799523675028841
OGLE-2025-BLG-0397,13.32,13.597,2025-08-20,388,18,2025-06-09,2026-02-28,264,1150.3263309230044,8.92421040203278,79.14671120922698,8.86876346967332
OGLE-2025-BLG-0451,13.038,14.07,2025-06-09,191,11,2025-06-08,2025-08-28,81,1120.1081183334536,9.300553141331514,94.7141828324256,10.183715032121825
OGLE-2024-GD-0006,15.725,17.5,2024-07-29,988,50,2024-03-15,2026-02-12,699,1357.4716439321703,6.8134124618397545,21.491207309793417,3.1542501544065296
